ID,sku,post_status,post_title,post_content,post_excerpt,category,tags,stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,stock_status,visibility,backorders,featured,manage_stock,featured_image,product_gallery,shipping_class,comment_status,ping_status,menu_order
,506267,publish,Алюминиевая ручка 150 см.,"«Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.»",,Инвентарь для уборки->Швабры Vileda с системой Ультра Спид->Ручки,brand-Vileda,,2502,,,,,,none,,instock,,yes,no,no,,,,close,open,
,143573,publish,Держатель КомбиСпид,"«Особенности:
• Обновленный держатель мопов
КомбиСпид Про 40 см.
• Конструкция держателя позволяет
использовать мопы, как на ремнях, так
и на карманах.
• Держатель стал легче и эргономичнее:
 390гр.
• Большая педаль для открытия
держателя.
• Симметричная ось, а также гладкие
и тонкие края держателя позволяет
быстрее одевать моп.
• Широкий угол наклона крепления
позволяет мыть даже трудноступные
места.
• Может использоваться
как с вертикальным, так и с роликовым
отжимамиОсобенности:
• Обновленный держатель мопов
КомбиСпид Про 40 см.
• Конструкция держателя позволяет
использовать мопы, как на ремнях, так
и на карманах.
• Держатель стал легче и эргономичнее:
 390гр.
• Большая педаль для открытия
держателя.
• Симметричная ось, а также гладкие
и тонкие края держателя позволяет
быстрее одевать моп.
• Широкий угол наклона крепления
позволяет мыть даже трудноступные
места.
• Может использоваться
как с вертикальным, так и с роликовым
Отжимами»",,Инвентарь для уборки->Швабры Vileda с системой КомбиСпид->Держатели,brand-Vileda,,2503,,,,,,none,,instock,,yes,no,no,,,,close,open,
,512967,publish,Моп Трио КомбиСпид,"«Особенности:
• Насадка с тремя видами волокон:
-- Полиэстер (серое волокно) — отлично
оттирает и удерживает загрязнения,
-- Микроволокно (белое волокно) —
собирает самые мелкие частицы грязи,
придает поверхности естественный
блеск и не отставляет разводов,
-- Вискоза (бежевое волокно) —
впитывает много влаги и грязи.
• Каждая петля независимо
прошита, благодаря чему насадка
не распускается.
• Прекрасно удаляет загрязнения
из структурированных покрытий,
подходит для всех типов полов.
• Насадка имеет 2 вида крепления:
карманы и ремни.
• Два размера: 40 и 50 см при ширине
16,5 см.
• Вес: 40 см — 160 г, 50 см — 225 г.
• Максимальный объем впитывания:
40 см — 540 мл, 50 см — 590 мл.Особенности:
• Насадка с тремя видами волокон:
-- Полиэстер (серое волокно) — отлично
оттирает и удерживает загрязнения,
-- Микроволокно (белое волокно) —
собирает самые мелкие частицы грязи,
придает поверхности естественный
блеск и не отставляет разводов,
-- Вискоза (бежевое волокно) —
впитывает много влаги и грязи.
• Каждая петля независимо
прошита, благодаря чему насадка
не распускается.
• Прекрасно удаляет загрязнения
из структурированных покрытий,
подходит для всех типов полов.
• Насадка имеет 2 вида крепления:
карманы и ремни.
• Два размера: 40 и 50 см при ширине
16,5 см.
• Вес: 40 см — 160 г, 50 см — 225 г.
• Максимальный объем впитывания:
40 см — 540 мл, 50 см — 590 мл.»","«Напольные покрытия:
• Применяется на кухнях и в туалетах
для сбора водных разливов
и как основная насадка на
низкобюджетных объектах.Напольные покрытия:
• Применяется на кухнях и в туалетах
для сбора водных разливов
и как основная насадка на
низкобюджетных объектах.»",Инвентарь для уборки->Швабры Vileda с системой КомбиСпид->Мопы,brand-Vileda,,2504,,,,,,none,,instock,,yes,no,no,,,,close,open,
,506267-0,publish,Алюминиевая ручка 150 см.,"«Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.»",,Инвентарь для уборки->Швабры Vileda с системой КомбиСпид->Ручки,brand-Vileda,,2505,,,,,,none,,instock,,yes,no,no,,,,close,open,
,511274,publish,Держатель ДастМоп 60 см.,"«Особенности:
• Легкий и надежный держатель
позволяет убирать в различных
направлениях.
• Каркас выполнен из цинка
с антикоррозийным покрытием.
• Удобная конструкция способствует
легкой и быстрой смене мопов.
• Представлен в двух размерах.»","«Напольные покрытия:
• Полы из кафельной плитки,
керамического гранита, натурального
камня, линолеум, резиновые полы
и т.д.»",Инвентарь для уборки->Швабры Vileda для сухой уборки с системой  ДастМоп->Держатели,brand-Vileda,,2506,,,,,,none,,instock,,yes,no,no,,,,close,open,
,118102,publish, Моп ДастМоп 60 см.,"«Особенности:
• Экономичные мопы для сбора пыли
и сора.
• Используется сухим или слегка
увлажненным.
• Имеют небольшой вес, что облегчает
процесс уборки.
• Вес 240 гр.»","«Напольные покрытия:
• Полы из кафельной плитки,
керамического гранита, натурального
камня, линолеум, резиновые полы
и т.д.»",Инвентарь для уборки->Швабры Vileda для сухой уборки с системой  ДастМоп->Мопы,brand-Vileda,,2507,,,,,,none,,instock,,yes,no,no,,,,close,open,
,506267-1,publish,Алюминиевая ручка 150 см.,"«Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.»",,Инвентарь для уборки->Швабры Vileda для сухой уборки с системой  ДастМоп->Ручки,brand-Vileda,,2508,,,,,,none,,instock,,yes,no,no,,,,close,open,
,116867,publish,Держатель мопов СВЕП Дуо Плюс 35 см.,"«Особенности:
• Легкий и эргономичный держатель
моющих насадок.
• Трапециевидная форма помогает легко
очищать углы.
• Также удобен для уборки стен
и потолков: держатель поворачивается
под необходимым углом для полного
контакта с поверхностью и фиксируется
в необходимом положении.
• Используется с Алюминиевой,
Телескопической или ручкой Эрго.
• Длина 35 см.
• Вес: 203 гр.»",,Инвентарь для уборки->Швабры Vileda с системой СВЕП Дуо Плюс->Держатели,brand-Vileda,,2509,,,,,,none,,instock,,yes,no,no,,,,close,open,
,508420,publish,Моп Хай-Спид МикроТек 50 см,"«Особенности:
• Универсальная микроволоконная
насадка.
• Запатентованная технология
производства обеспечивает прочность
насадки и высокое качество уборки.
• Благодаря микроволокну
прекрасно удаляет загрязнения
на структурированных поверхностях.
• На 15% быстрее скользит
по поверхности по сравнению
с хлопковыми моющими насадками.
• Устойчива к кислотным растворам
и большей части дезинфицирующих
средств.
• Длина: 50 см.
• Вес: 170 г.,
• Максимальный объем впитывания: 430 мл.
»","«Поверхности:
• Сильно загрязненные напольные
покрытия.
• Мытье и дезинфекция с использованием
агрессивных моющих и
дезинфицирующих средств.»",Инвентарь для уборки->Швабры Vileda с системой СВЕП Дуо Плюс->Мопы,brand-Vileda,,2510,,,,,,none,,instock,,yes,no,no,,,,close,open,
,506267-2,publish,Алюминиевая ручка 150 см.,"«Особенности:
• Удобная, надежная, эргономичная ручка
для держателя мопов.
• Закругленная рукоятка обеспечивает
удобный захват.
• Длина 150 см.
• Удобная зона для удержания (18,5 см ).
• Вес 300 г.»",,Инвентарь для уборки->Швабры Vileda с системой СВЕП Дуо Плюс->Ручки,brand-Vileda,,2511,,,,,,none,,instock,,yes,no,no,,,,close,open,
,DV40B,publish,Моп из микрофибры Smart Color на липучке синий,"«Особенности: • Длина: 50 см.МОПы для мойки полов.                                            
•  Легкое крепление при помощи липучки позволяет просто и быстро осуществлять замену.                                                  
• МОПы производится из нестриженной микрофибры высокой плотности.Обладают высокой впитываемостью и износостойкостью. Выдерживают свыше 500 стирок и сушек. Не рекомендуется сушить мопы на батарее.
»","«Поверхности:
• Предназначен для уборки паркета, линолеума и ламината.»",Инвентарь для уборки->Швабры->Мопы,Brand-Unger,,2512,,,,,,none,,instock,,yes,no,no,,,,close,open,
